hora,dia,problemas
0,Seg,70
0,Ter,38
0,Qua,7
0,Qui,80
0,Sex,13
0,Sab,63
0,Dom,69
1,Seg,35
1,Ter,11
1,Qua,81
1,Qui,32
1,Sex,93
1,Sab,23
1,Dom,20
2,Seg,74
2,Ter,52
2,Qua,91
2,Qui,4
2,Sex,98
2,Sab,68
2,Dom,21
3,Seg,51
3,Ter,54
3,Qua,65
3,Qui,66
3,Sex,3
3,Sab,23
3,Dom,14
4,Seg,55
4,Ter,55
4,Qua,61
4,Qui,29
4,Sex,30
4,Sab,89
4,Dom,95
5,Seg,67
5,Ter,53
5,Qua,15
5,Qui,84
5,Sex,29
5,Sab,33
5,Dom,25
6,Seg,16
6,Ter,90
6,Qua,22
6,Qui,16
6,Sex,94
6,Sab,87
6,Dom,38
7,Seg,85
7,Ter,53
7,Qua,17
7,Qui,22
7,Sex,22
7,Sab,9
7,Dom,84
8,Seg,100
8,Ter,34
8,Qua,27
8,Qui,22
8,Sex,37
8,Sab,56
8,Dom,25
9,Seg,46
9,Ter,42
9,Qua,53
9,Qui,17
9,Sex,1
9,Sab,56
9,Dom,6
10,Seg,4
10,Ter,73
10,Qua,93
10,Qui,5
10,Sex,50
10,Sab,92
10,Dom,67
11,Seg,86
11,Ter,17
11,Qua,19
11,Qui,96
11,Sex,25
11,Sab,94
11,Dom,84
12,Seg,23
12,Ter,46
12,Qua,29
12,Qui,7
12,Sex,43
12,Sab,6
12,Dom,30
13,Seg,24
13,Ter,5
13,Qua,61
13,Qui,8
13,Sex,31
13,Sab,80
13,Dom,72
14,Seg,4
14,Ter,36
14,Qua,12
14,Qui,85
14,Sex,32
14,Sab,74
14,Dom,14
15,Seg,91
15,Ter,76
15,Qua,16
15,Qui,58
15,Sex,40
15,Sab,72
15,Dom,97
16,Seg,89
16,Ter,33
16,Qua,38
16,Qui,48
16,Sex,52
16,Sab,22
16,Dom,12
17,Seg,32
17,Ter,8
17,Qua,59
17,Qui,95
17,Sex,80
17,Sab,87
17,Dom,79
18,Seg,90
18,Ter,92
18,Qua,57
18,Qui,95
18,Sex,12
18,Sab,31
18,Dom,2
19,Seg,91
19,Ter,87
19,Qua,77
19,Qui,61
19,Sex,31
19,Sab,7
19,Dom,70
20,Seg,82
20,Ter,81
20,Qua,64
20,Qui,63
20,Sex,41
20,Sab,91
20,Dom,68
21,Seg,52
21,Ter,33
21,Qua,95
21,Qui,54
21,Sex,18
21,Sab,14
21,Dom,17
22,Seg,0
22,Ter,91
22,Qua,96
22,Qui,32
22,Sex,73
22,Sab,74
22,Dom,26
23,Seg,93
23,Ter,31
23,Qua,88
23,Qui,70
23,Sex,98
23,Sab,69
23,Dom,73
